date,drawdown
2020-11-11,-0.034714570534603965
2020-11-12,-0.028649366331673618
2020-11-13,-0.01692002299246681
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,-0.01045955407735215
2020-11-26,-0.00832877564221793
2020-11-27,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,-0.0031595908002155296
2020-12-09,0.0
2020-12-10,-0.004419662324702985
2020-12-11,-0.0022733433468694166
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,-0.0024476503593690107
2020-12-18,-0.006483421317375249
2020-12-21,-0.036197481824121684
2020-12-22,-0.03489198187079312
2020-12-23,-0.014781837604621406
2020-12-24,-0.011278897312770365
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,-0.0002712357089486447
2021-01-01,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,-0.003759494300689279
2021-01-12,-0.005089515525206817
2021-01-13,-0.009686340706294767
2021-01-14,-0.015900792066472085
2021-01-15,-0.022747488917501207
2021-01-18,-0.035976103304787274
2021-01-19,-0.02169051037137451
2021-01-20,-0.02158614739207841
2021-01-21,-0.02299990170463585
2021-01-22,-0.03393374407042319
2021-01-25,-0.04147821665511805
2021-01-27,-0.05042552184523469
2021-01-28,-0.057081695582897586
2021-01-29,-0.055227432415869505
2021-02-01,-0.03604527411664636
2021-02-02,-0.021627407174590805
2021-02-03,-0.009112344320166221
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,0.0
2021-02-09,-0.004336921683889768
2021-02-10,-0.0012695766321247054
2021-02-11,0.0
2021-02-12,0.0
2021-02-15,0.0
2021-02-16,-0.0051806707469104155
2021-02-17,-0.002449792773170222
2021-02-18,0.0
2021-02-19,-0.007066385913059114
2021-02-22,-0.02187376142412703
2021-02-23,-0.01775014409862083
2021-02-24,-0.008629549044389423
2021-02-25,0.0
2021-02-26,-0.006611949216524523
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,-0.008285532186105778
2021-03-08,-0.004211896499978128
2021-03-09,-0.007263751049601834
2021-03-10,-0.002986658393499217
